budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,genres_parsed,keywords_parsed,num_genres,num_keywords,original_language_index,features,success,prediction
0,"""[{""""id"""": 10749"," """"name"""": """"Romance""""}"," {""""id"""": 18"," """"name"""": """"Drama""""}]""",http://www.thebridgeofsanluisreymovie.com/,45881,"""[{""""id"""": 818",0.0," {""""id"""": 3450"," """"name"""": """"bridge""""}"," {""""id"""": 5967",0,0.0," """"name"""": """"period drama""""}"," {""""id"""": 160279"," """"name"""": """"18th century""""}"," {""""id"""": 187056",0.0,0,,,-1,-1,628.0,"(8,[1,2,3],[-1.0,-1.0,628.0])",0,93165.20522768897
0,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 16"," """"name"""": """"Animation""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 10751",0.0,http://www.foxmovies.com/movies/alvin-and-the-chipmunks-the-road-chip,258509,"""[{""""id"""": 10986",0,0.0," """"name"""": """"cgi""""}"," {""""id"""": 11477"," """"name"""": """"talking animal""""}"," {""""id"""": 179430",0.0,0,,,-1,-1,6.0,"(8,[1,2,3],[-1.0,-1.0,6.0])",0,1761.6285671369362
0,"""[{""""id"""": 12"," """"name"""": """"Adventure""""}"," {""""id"""": 18"," """"name"""": """"Drama""""}]""",http://www.endofthespear.com/,14120,"""[{""""id"""": 8029",0.0,en,End of the Spear,"""""""End of the Spear"""" is the story of Mincayani",0,0.0, are speared to death by the Waodani in 1956, a series of events unfold to change the lives of not only the slain missionaries' families," but also Mincayani and his people""",1.83428,0.0,0,,,-1,-1,396.0,"(8,[1,2,3],[-1.0,-1.0,396.0])",0,93165.20522768897
0,"""[{""""id"""": 16"," """"name"""": """"Animation""""}"," {""""id"""": 10751"," """"name"""": """"Family""""}"," {""""id"""": 14"," """"name"""": """"Fantasy""""}]""",http://www.thesecretofkells.com/,26963.0,"""[{""""id"""": 14665"," """"name"""": """"barbarian""""}"," {""""id"""": 14785",0,0.0," """"name"""": """"trapped""""}"," {""""id"""": 33696"," """"name"""": """"sea monster""""}"," {""""id"""": 187056",0.0,0,,,-1,-1,10.0,"(8,[1,2,3,4],[-1.0,-1.0,10.0,26963.0])",0,339.80695635254665
0,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 10749"," """"name"""": """"Romance""""}]""",http://www.bfi.org.uk/whats-on/bfi-film-releases/howards-end,8293,"""[{""""id"""": 818",0.0," {""""id"""": 1156"," """"name"""": """"sister sister relationship""""}"," {""""id"""": 2386",0,0.0," """"name"""": """"sister""""}"," {""""id"""": 205850"," """"name"""": """"turn of the century""""}"," {""""id"""": 234626",0.0,0,,,-1,-1,348.0,"(8,[1,2,3],[-1.0,-1.0,348.0])",0,93165.20522768897
0,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 10749"," """"name"""": """"Romance""""}]""",http://www.thepeacefulwarriormovie.com/,13689,[],0.0,Peaceful Warrior,A chance encounter with a stranger changes the life of a college gymnast.,8.326131,0,0.0,"""[{""""iso_3166_1"""": """"DE"""""," """"name"""": """"Germany""""}"," {""""iso_3166_1"""": """"US"""""," """"name"""": """"United States of America""""}]""",0.0,0,,,-1,-1,649.0,"(8,[1,2,3],[-1.0,-1.0,649.0])",0,93165.20522768897
0,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 28"," """"name"""": """"Action""""}"," {""""id"""": 10749"," """"name"""": """"Romance""""}]""",http://www.kites-thefilm.com/,37737.0,[],en,Kites,0,4.807549,"""[{""""name"""": """"Bollywood Hollywood Production"""""," """"id"""": 51955}]""","""[{""""iso_3166_1"""": """"IN"""""," """"name"""": """"India""""}]""",0.0,0,,,-1,-1,4.0,"[0.0,-1.0,-1.0,4.0,37737.0,4.807548999786377,0.0,0.0]",0,8.456967725037408
0,"""[{""""id"""": 18"," """"name"""": """"Drama""""}"," {""""id"""": 35"," """"name"""": """"Comedy""""}"," {""""id"""": 80"," """"name"""": """"Crime""""}]""",http://madeaswitnessprotectionmovie.com/,103370.0,[],en,Madea's Witness Protection,0,7.050951,"""[{""""name"""": """"Tyler Perry Company"," The"""""," """"id"""": 3096}]""","""[{""""iso_3166_1"""": """"US""""",0.0,0,,,-1,-1,5.0,"[0.0,-1.0,-1.0,5.0,103370.0,7.05095100402832,0.0,0.0]",0,7.934670844146135
0,"""[{""""id"""": 18"," """"name"""": """"Drama""""}]""",http://www.forcoloredgirlsmovie.com/,44944,"""[{""""id"""": 293"," """"name"""": """"female nudity""""}"," {""""id"""": 493",0.0," {""""id"""": 570"," """"name"""": """"rape""""}"," {""""id"""": 9673",0,0.0," """"name"""": """"domestic violence""""}"," {""""id"""": 33372"," """"name"""": """"womanhood""""}]""",en,0.0,0,,,-1,-1,46.0,"(8,[1,2,3],[-1.0,-1.0,46.0])",0,43399.96298057897
0,"""[{""""id"""": 18"," """"name"""": """"Drama""""}]""",http://www.foxsearchlight.com/thesavages,8272,"""[{""""id"""": 494"," """"name"""": """"father son relationship""""}"," {""""id"""": 894",0.0," {""""id"""": 970"," """"name"""": """"parents kids relationship""""}"," {""""id"""": 1155",0,0.0," """"name"""": """"professor""""}"," {""""id"""": 2074"," """"name"""": """"pflegeheim""""}"," {""""id"""": 3746",0.0,0,,,-1,-1,37.0,"(8,[1,2,3],[-1.0,-1.0,37.0])",0,351.4575776014368
